pair_id,day,baseline_position_mm,vibration_magnitude_mm,pre_vibration_position_mm,post_vibration_position_mm,residual_offset_mm,returned_to_baseline,days_unreturned_streak,discrepancy_mm,signal_intensity_pct,status_reference
WallPair01,1,0.0,1.452,-0.0109,0.0565,0.0565,True,0,0.0565,98.74,NORMAL
WallPair01,2,0.0,1.5374,0.095,0.128,0.128,True,0,0.128,97.55,NORMAL
WallPair01,3,0.0,0.1828,0.0506,0.0154,0.0154,True,0,0.0154,99.63,NORMAL
WallPair01,4,0.0,1.1242,0.1084,0.025,0.025,True,0,0.025,98.1,NORMAL
WallPair01,5,0.0,1.2092,-0.1172,0.1384,0.1384,True,0,0.1384,98.48,NORMAL
WallPair01,6,0.0,0.3312,0.0892,-0.0453,-0.0453,True,0,0.0453,99.81,NORMAL
WallPair01,7,0.0,1.3796,-0.0171,0.0133,0.0133,True,0,0.0133,98.3,NORMAL
WallPair01,8,0.0,2.0422,-0.0342,-0.1034,-0.1034,True,0,0.1034,98.15,NORMAL
WallPair01,9,0.0,0.3584,-0.0179,-0.0107,-0.0107,True,0,0.0107,99.88,NORMAL
WallPair01,10,0.0,1.0087,-0.0637,0.0326,0.0326,True,0,0.0326,99.32,NORMAL
WallPair01,11,0.0,0.9921,0.0539,-0.0452,-0.0452,True,0,0.0452,98.96,NORMAL
WallPair01,12,0.0,0.5545,-0.07,0.0512,0.0512,True,0,0.0512,98.31,NORMAL
WallPair01,13,0.0,0.868,0.09,-0.1091,-0.1091,True,0,0.1091,98.54,NORMAL
WallPair01,14,0.0,1.2759,-0.1359,-0.0266,-0.0266,True,0,0.0266,98.17,NORMAL
WallPair01,15,0.0,0.4006,0.0288,0.0463,0.0463,True,0,0.0463,98.06,NORMAL
WallPair01,16,0.0,0.8426,0.055,-0.1039,-0.1039,True,0,0.1039,99.3,NORMAL
WallPair01,17,0.0,1.1049,-0.1192,-0.142,-0.142,True,0,0.142,97.58,NORMAL
WallPair01,18,0.0,0.545,-0.1007,0.1154,0.1154,True,0,0.1154,98.62,NORMAL
WallPair01,19,0.0,1.8393,0.0952,-0.0073,-0.0073,True,0,0.0073,98.86,NORMAL
WallPair01,20,0.0,1.6888,0.0205,0.0351,0.0351,True,0,0.0351,99.0,NORMAL
WallPair01,21,0.0,1.1148,0.0762,-0.0165,-0.0165,True,0,0.0165,99.43,NORMAL
WallPair01,22,0.0,0.1919,-0.0866,0.0944,0.0944,True,0,0.0944,98.33,NORMAL
WallPair01,23,0.0,1.0121,-0.0336,0.021,0.021,True,0,0.021,99.15,NORMAL
WallPair01,24,0.0,1.1179,0.0145,-0.0026,-0.0026,True,0,0.0026,99.92,NORMAL
WallPair01,25,0.0,0.0372,-0.0179,0.1231,0.1231,True,0,0.1231,98.66,NORMAL
WallPair01,26,0.0,2.2281,0.0904,-0.06,-0.06,True,0,0.06,98.01,NORMAL
WallPair01,27,0.0,1.6644,-0.0287,-0.1363,-0.1363,True,0,0.1363,98.95,NORMAL
WallPair01,28,0.0,2.4792,-0.2381,0.1405,0.1405,True,0,0.1405,98.96,NORMAL
WallPair01,29,0.0,0.3094,0.1166,0.1889,0.1889,True,0,0.1889,98.34,NORMAL
WallPair01,30,0.0,1.0591,0.1654,-0.0749,-0.0749,True,0,0.0749,97.86,NORMAL
WallPair01,31,0.0,0.3136,-0.1239,-0.0619,-0.0619,True,0,0.0619,98.75,NORMAL
WallPair01,32,0.0,1.2902,0.0636,-0.0617,-0.0617,True,0,0.0617,99.63,NORMAL
WallPair01,33,0.0,2.0061,-0.2142,-0.063,-0.063,True,0,0.063,99.02,NORMAL
WallPair01,34,0.0,2.6625,-0.1203,-0.0243,-0.0243,True,0,0.0243,99.4,NORMAL
WallPair01,35,0.0,1.5726,0.0044,-0.051,-0.051,True,0,0.051,98.98,NORMAL
WallPair01,36,0.0,1.4269,0.0322,-0.0024,-0.0024,True,0,0.0024,99.67,NORMAL
WallPair01,37,0.0,1.0827,0.0807,0.029,0.029,True,0,0.029,99.54,NORMAL
WallPair01,38,0.0,1.271,0.0242,-0.1131,-0.1131,True,0,0.1131,98.91,NORMAL
WallPair01,39,0.0,0.4759,-0.0148,0.1151,0.1151,True,0,0.1151,98.32,NORMAL
WallPair01,40,0.0,0.0033,0.0518,0.0343,0.0343,True,0,0.0343,98.27,NORMAL
WallPair01,41,0.0,1.5704,0.0272,0.598,0.598,False,1,0.598,96.31,NORMAL
WallPair01,42,0.0,1.5942,0.6416,1.1757,1.1757,False,2,1.1757,94.6,NORMAL
WallPair01,43,0.0,1.2123,1.2234,1.629,1.629,False,3,1.629,93.28,WATCH
WallPair01,44,0.0,1.3672,1.6464,2.1533,2.1533,False,4,2.1533,91.03,WATCH
WallPair01,45,0.0,0.9151,2.1128,2.5136,2.5136,False,5,2.5136,87.99,WATCH
WallPair01,46,0.0,0.8799,2.5932,2.9356,2.9356,False,6,2.9356,87.97,WATCH
WallPair01,47,0.0,0.8025,2.9031,3.2565,3.2565,False,7,3.2565,85.88,WARNING
WallPair01,48,0.0,2.6881,3.1496,4.3945,4.3945,False,8,4.3945,80.77,WARNING
WallPair01,49,0.0,0.7812,4.3702,4.5839,4.5839,False,9,4.5839,80.74,WARNING
WallPair01,50,0.0,1.9356,4.7771,5.5128,5.5128,False,10,5.5128,77.42,WARNING
WallPair01,51,0.0,2.3066,5.5751,6.546,6.546,False,11,6.546,72.18,WARNING
WallPair01,52,0.0,0.6706,6.5987,6.9897,6.9897,False,12,6.9897,71.51,WARNING
WallPair01,53,0.0,0.0919,6.9562,7.0788,7.0788,False,13,7.0788,70.88,WARNING
WallPair01,54,0.0,2.3995,7.0773,8.2259,8.2259,False,14,8.2259,65.54,CRITICAL
WallPair01,55,0.0,0.8643,8.1258,8.5866,8.5866,False,15,8.5866,64.72,CRITICAL
WallPair01,56,0.0,1.1397,8.6062,9.156,9.156,False,16,9.156,62.89,CRITICAL
WallPair01,57,0.0,0.8936,9.206,9.6283,9.6283,False,17,9.6283,59.73,CRITICAL
WallPair01,58,0.0,3.1959,9.6098,11.3936,11.3936,False,18,11.3936,52.82,CRITICAL
WallPair01,59,0.0,0.9024,11.3419,11.9596,11.9596,False,19,11.9596,51.86,CRITICAL
WallPair01,60,0.0,0.3001,11.847,12.0307,12.0307,False,20,12.0307,50.0,CRITICAL
WallPair01,61,0.0,1.6206,12.0419,13.0593,13.0593,False,21,13.0593,46.89,CRITICAL
WallPair01,62,0.0,0.2872,12.9721,13.1924,13.1924,False,22,13.1924,45.88,CRITICAL
WallPair01,63,0.0,1.7007,13.1732,14.1215,14.1215,False,23,14.1215,42.71,CRITICAL
WallPair01,64,0.0,1.6427,14.1624,15.1097,15.1097,False,24,15.1097,37.68,CRITICAL
WallPair01,65,0.0,1.3688,15.1004,15.9633,15.9633,False,25,15.9633,34.27,CRITICAL
WallPair01,66,0.0,0.3945,16.0532,16.2597,16.2597,False,26,16.2597,34.84,CRITICAL
WallPair01,67,0.0,0.1575,16.161,16.3327,16.3327,False,27,16.3327,33.67,CRITICAL
WallPair01,68,0.0,0.3272,16.4109,16.5575,16.5575,False,28,16.5575,32.52,CRITICAL
WallPair01,69,0.0,1.8406,16.4978,17.7054,17.7054,False,29,17.7054,29.08,CRITICAL
WallPair01,70,0.0,1.9156,17.7406,18.9803,18.9803,False,30,18.9803,22.87,CRITICAL
WallPair01,71,0.0,2.6246,19.0688,20.7818,20.7818,False,31,20.7818,15.8,CRITICAL
WallPair01,72,0.0,0.733,20.8485,21.3167,21.3167,False,32,21.3167,14.46,CRITICAL
WallPair01,73,0.0,0.8603,21.3769,22.0033,22.0033,False,33,22.0033,11.2,CRITICAL
WallPair01,74,0.0,0.2049,21.9996,22.1061,22.1061,False,34,22.1061,10.34,CRITICAL
WallPair01,75,0.0,2.3236,22.1097,23.717,23.717,False,35,23.717,5.01,CRITICAL
WallPair01,76,0.0,0.1816,23.7818,23.9149,23.9149,False,36,23.9149,3.16,CRITICAL
WallPair01,77,0.0,2.3837,23.8404,25.6463,25.6463,False,37,25.6463,0.0,CRITICAL
WallPair01,78,0.0,0.3211,25.6395,25.9414,25.9414,False,38,25.9414,0.0,CRITICAL
WallPair01,79,0.0,1.9695,25.8645,27.3167,27.3167,False,39,27.3167,0.0,CRITICAL
WallPair01,80,0.0,1.7477,27.3963,28.8669,28.8669,False,40,28.8669,0.0,CRITICAL
WallPair01,81,0.0,2.6278,28.741,30.9112,30.9112,False,41,30.9112,0.0,CRITICAL
WallPair01,82,0.0,0.7545,30.8274,31.5298,31.5298,False,42,31.5298,0.0,CRITICAL
WallPair01,83,0.0,1.4257,31.4926,32.6418,32.6418,False,43,32.6418,0.0,CRITICAL
WallPair01,84,0.0,1.5896,32.664,33.8701,33.8701,False,44,33.8701,0.0,CRITICAL
WallPair01,85,0.0,0.5054,34.0149,34.3574,34.3574,False,45,34.3574,0.0,CRITICAL
WallPair01,86,0.0,0.74,34.4321,35.0347,35.0347,False,46,35.0347,0.0,CRITICAL
WallPair01,87,0.0,1.7511,35.0774,36.5178,36.5178,False,47,36.5178,0.0,CRITICAL
WallPair01,88,0.0,0.3299,36.4546,36.8318,36.8318,False,48,36.8318,0.0,CRITICAL
WallPair01,89,0.0,2.3674,36.7213,38.8894,38.8894,False,49,38.8894,0.0,CRITICAL
WallPair01,90,0.0,0.4241,38.946,39.2564,39.2564,False,50,39.2564,0.0,CRITICAL
WallPair02,1,0.0,0.2805,0.0036,-0.0611,-0.0611,True,0,0.0611,99.49,NORMAL
WallPair02,2,0.0,1.7236,-0.07,0.0179,0.0179,True,0,0.0179,99.45,NORMAL
WallPair02,3,0.0,0.7928,-0.0382,0.0005,0.0005,True,0,0.0005,99.05,NORMAL
WallPair02,4,0.0,1.1543,-0.2083,0.0969,0.0969,True,0,0.0969,99.21,NORMAL
WallPair02,5,0.0,0.3182,0.1096,0.0349,0.0349,True,0,0.0349,97.86,NORMAL
WallPair02,6,0.0,0.3233,0.0135,0.0048,0.0048,True,0,0.0048,98.7,NORMAL
WallPair02,7,0.0,0.9125,-0.0047,-0.0879,-0.0879,True,0,0.0879,98.93,NORMAL
WallPair02,8,0.0,0.2914,-0.0693,-0.269,-0.269,True,0,0.269,98.42,NORMAL
WallPair02,9,0.0,0.7187,-0.2049,-0.0873,-0.0873,True,0,0.0873,98.49,NORMAL
WallPair02,10,0.0,0.0866,-0.0167,-0.0714,-0.0714,True,0,0.0714,98.19,NORMAL
WallPair02,11,0.0,0.5334,0.0623,0.0788,0.0788,True,0,0.0788,98.64,NORMAL
WallPair02,12,0.0,0.8054,0.0999,-0.1394,-0.1394,True,0,0.1394,98.45,NORMAL
WallPair02,13,0.0,0.5925,-0.1173,-0.0861,-0.0861,True,0,0.0861,98.77,NORMAL
WallPair02,14,0.0,1.4536,-0.0874,-0.1522,-0.1522,True,0,0.1522,98.19,NORMAL
WallPair02,15,0.0,1.4471,-0.1106,0.026,0.026,True,0,0.026,99.43,NORMAL
WallPair02,16,0.0,1.4873,0.0521,-0.0859,-0.0859,True,0,0.0859,98.23,NORMAL
WallPair02,17,0.0,0.472,-0.0294,0.0726,0.0726,True,0,0.0726,99.34,NORMAL
