node_id,day,tilt_deg,displacement_mm,strain_microstrain,vibration_mms,risk_score_reference,status_reference
Node01,1,0.217,1.713,27.74,1.066,18.2,NORMAL
Node01,2,0.439,1.669,25.47,1.122,18.6,NORMAL
Node01,3,0.211,1.592,30.17,0.969,18.2,NORMAL
Node01,4,0.316,1.492,28.09,1.071,18.2,NORMAL
Node01,5,0.237,1.527,25.81,1.109,17.3,NORMAL
Node01,6,0.318,1.678,28.48,1.078,18.8,NORMAL
Node01,7,0.42,1.431,27.34,1.056,18.2,NORMAL
Node01,8,0.362,1.538,28.32,0.9,18.0,NORMAL
Node01,9,0.198,1.042,27.71,0.894,15.6,NORMAL
Node01,10,0.507,1.28,23.94,0.898,16.6,NORMAL
Node01,11,0.556,1.537,29.45,0.933,19.5,NORMAL
Node01,12,0.193,1.788,33.67,1.115,20.3,NORMAL
Node01,13,0.249,1.789,33.9,0.824,19.7,NORMAL
Node01,14,0.094,1.64,29.35,1.062,17.8,NORMAL
Node01,15,0.0,1.674,28.11,1.088,17.2,NORMAL
Node01,16,0.107,1.902,33.06,0.815,19.0,NORMAL
Node01,17,0.429,1.347,28.0,0.694,17.0,NORMAL
Node01,18,0.364,1.393,30.09,1.015,18.6,NORMAL
Node01,19,0.433,1.398,28.22,1.043,18.4,NORMAL
Node01,20,0.357,1.221,24.77,1.005,16.3,NORMAL
Node01,21,0.345,1.488,32.93,1.013,19.6,NORMAL
Node01,22,0.402,1.618,30.4,0.8,18.8,NORMAL
Node01,23,0.444,1.321,29.24,1.014,18.5,NORMAL
Node01,24,0.305,1.316,28.86,0.945,17.4,NORMAL
Node01,25,0.195,1.471,30.75,1.031,18.2,NORMAL
Node01,26,0.386,1.534,30.91,1.111,19.7,NORMAL
Node01,27,0.125,1.128,30.29,0.949,16.5,NORMAL
Node01,28,0.404,1.405,23.69,0.834,16.2,NORMAL
Node01,29,0.381,1.306,28.01,0.885,17.3,NORMAL
Node01,30,0.168,1.626,28.26,1.001,17.6,NORMAL
Node01,31,0.276,1.74,26.07,1.098,18.1,NORMAL
Node01,32,0.261,1.479,29.42,0.842,17.5,NORMAL
Node01,33,0.284,1.604,30.82,1.004,19.0,NORMAL
Node01,34,0.409,1.431,26.75,1.121,18.2,NORMAL
Node01,35,0.16,1.385,31.2,0.94,17.6,NORMAL
Node01,36,0.102,1.253,33.36,1.193,18.5,NORMAL
Node01,37,0.123,1.402,25.97,0.915,15.8,NORMAL
Node01,38,0.534,1.604,30.03,1.039,20.1,NORMAL
Node01,39,0.174,1.635,28.95,1.042,18.0,NORMAL
Node01,40,0.388,1.479,30.48,0.992,19.0,NORMAL
Node01,41,0.336,1.539,27.13,1.076,18.1,NORMAL
Node01,42,0.343,1.537,31.4,1.148,19.7,NORMAL
Node01,43,0.268,1.535,29.4,0.926,18.0,NORMAL
Node01,44,0.047,1.544,30.46,1.099,17.8,NORMAL
Node01,45,0.109,1.861,27.31,1.044,17.8,NORMAL
Node01,46,0.362,1.291,31.39,1.148,19.1,NORMAL
Node01,47,0.029,1.33,30.5,0.962,16.7,NORMAL
Node01,48,0.034,1.262,23.79,1.145,15.0,NORMAL
Node01,49,0.0,1.221,33.2,1.276,18.1,NORMAL
Node01,50,0.476,1.5,29.31,0.945,18.9,NORMAL
Node01,51,0.131,1.063,30.67,1.025,16.7,NORMAL
Node01,52,0.0,1.332,31.42,1.087,17.2,NORMAL
Node01,53,0.388,1.435,30.96,1.009,19.1,NORMAL
Node01,54,0.418,1.673,30.35,1.169,20.2,NORMAL
Node01,55,0.348,1.119,29.98,0.954,17.5,NORMAL
Node01,56,0.344,1.332,33.17,1.091,19.5,NORMAL
Node01,57,0.309,1.381,31.78,0.912,18.5,NORMAL
Node01,58,0.353,1.482,34.27,0.928,19.8,NORMAL
Node01,59,0.212,1.052,29.71,1.02,16.8,NORMAL
Node01,60,0.549,1.521,29.17,1.145,20.0,NORMAL
Node01,61,0.407,1.579,29.97,1.076,19.5,NORMAL
Node01,62,0.204,1.679,29.81,0.966,18.3,NORMAL
Node01,63,0.302,1.38,30.11,0.914,17.9,NORMAL
Node01,64,0.393,1.232,32.95,1.002,19.1,NORMAL
Node01,65,0.366,1.141,31.22,0.933,18.0,NORMAL
Node01,66,0.423,1.397,33.0,0.967,19.6,NORMAL
Node01,67,0.306,1.525,26.47,1.011,17.5,NORMAL
Node01,68,0.278,1.55,37.21,0.998,20.8,NORMAL
Node01,69,0.513,1.498,29.46,1.064,19.6,NORMAL
Node01,70,0.178,1.371,31.68,0.916,17.8,NORMAL
Node01,71,0.379,1.366,29.95,1.086,18.8,NORMAL
Node01,72,0.167,1.659,31.29,1.018,18.7,NORMAL
Node01,73,0.116,1.6,28.38,1.015,17.4,NORMAL
Node01,74,0.421,1.669,28.07,1.066,19.2,NORMAL
Node01,75,0.018,1.579,29.75,0.914,16.9,NORMAL
Node01,76,0.386,1.345,39.06,1.212,22.0,NORMAL
Node01,77,0.256,1.258,28.53,1.059,17.3,NORMAL
Node01,78,0.297,1.736,37.55,1.072,21.7,NORMAL
Node01,79,0.329,1.329,30.17,1.045,18.3,NORMAL
Node01,80,0.232,1.572,35.24,1.043,20.1,NORMAL
